zip,county,state,lat,lng
00741,Humacao,PR,18.16569,-65.75506
00745,Río Grande,PR,18.3466,-65.81382
00745,Canóvanas,PR,18.3466,-65.81382
00751,Salinas,PR,18.01205,-66.25871
00751,Cayey,PR,18.01205,-66.25871
00754,San Lorenzo,PR,18.1447,-65.97565
00757,Santa Isabel,PR,17.9933,-66.39056
00765,Vieques,PR,18.12365,-65.43013
00766,Villalba,PR,18.13039,-66.4757
00766,Orocovis,PR,18.13039,-66.4757
00767,Yabucoa,PR,18.07033,-65.89618
00767,Humacao,PR,18.07033,-65.89618
00769,Coamo,PR,18.09459,-66.3607
00769,Santa Isabel,PR,18.09459,-66.3607
00771,Las Piedras,PR,18.18797,-65.86916
00771,Humacao,PR,18.18797,-65.86916
00772,Loíza,PR,18.43048,-65.90377
00773,Luquillo,PR,18.34073,-65.72756
00775,Culebra,PR,18.31387,-65.28618
00777,Juncos,PR,18.22365,-65.90904
00777,San Lorenzo,PR,18.22365,-65.90904
00777,Las Piedras,PR,18.22365,-65.90904
00777,Canóvanas,PR,18.22365,-65.90904
00777,Gurabo,PR,18.22365,-65.90904
00778,Gurabo,PR,18.26319,-65.97938
00778,San Lorenzo,PR,18.26319,-65.97938
00780,Ponce,PR,18.09998,-66.57032
00780,Juana Díaz,PR,18.09998,-66.57032
00782,Comerío,PR,18.22501,-66.22452
00782,Barranquitas,PR,18.22501,-66.22452
00783,Corozal,PR,18.30348,-66.32851
00783,Barranquitas,PR,18.30348,-66.32851
00784,Guayama,PR,18.00558,-66.13651
00784,Cayey,PR,18.00558,-66.13651
00784,Patillas,PR,18.00558,-66.13651
00786,Aibonito,PR,18.1357,-66.22881
00791,Humacao,PR,18.14391,-65.81398
00791,Las Piedras,PR,18.14391,-65.81398
00791,Yabucoa,PR,18.14391,-65.81398
00794,Barranquitas,PR,18.19934,-66.31179
00794,Coamo,PR,18.19934,-66.31179
00795,Juana Díaz,PR,18.05128,-66.49485
00802,St. Thomas,VI,18.34349,-64.9287
00820,St. Croix,VI,17.7388,-64.70695
00830,St. John,VI,18.33857,-64.73802
00840,St. Croix,VI,17.72649,-64.84717
00850,St. Croix,VI,17.72763,-64.79122
00851,St. Croix,VI,17.74757,-64.78737
00901,San Juan,PR,18.46478,-66.10277
00906,San Juan,PR,18.46446,-66.09499
00907,San Juan,PR,18.45287,-66.08381
00909,San Juan,PR,18.44131,-66.06866
00911,San Juan,PR,18.45133,-66.05636
00912,San Juan,PR,18.44503,-66.05995
00913,San Juan,PR,18.45024,-66.04275
00915,San Juan,PR,18.43673,-66.04576
00917,San Juan,PR,18.4208,-66.04989
00918,San Juan,PR,18.42139,-66.06774
00920,San Juan,PR,18.41904,-66.09023
00921,San Juan,PR,18.39206,-66.0871
00921,Guaynabo,PR,18.39206,-66.0871
00923,San Juan,PR,18.41146,-66.03715
00924,San Juan,PR,18.39987,-66.01344
00924,Carolina,PR,18.39987,-66.01344
00925,San Juan,PR,18.40028,-66.05058
00926,San Juan,PR,18.34691,-66.05434
00926,Trujillo Alto,PR,18.34691,-66.05434
00926,Guaynabo,PR,18.34691,-66.05434
00927,San Juan,PR,18.38884,-66.07149
00934,Guaynabo,PR,18.41372,-66.11998
00934,Bayamón,PR,18.41372,-66.11998
00949,Toa Baja,PR,18.43166,-66.21349
00949,Cataño,PR,18.43166,-66.21349
00949,Toa Alta,PR,18.43166,-66.21349
00950,Dorado,PR,18.46201,-66.23917
00950,Toa Baja,PR,18.46201,-66.23917
00951,Toa Baja,PR,18.43175,-66.25628
00952,Toa Baja,PR,18.42874,-66.18897
00953,Toa Alta,PR,18.36319,-66.24764
00953,Corozal,PR,18.36319,-66.24764
00953,Toa Baja,PR,18.36319,-66.24764
00956,Bayamón,PR,18.32121,-66.17185
00956,Aguas Buenas,PR,18.32121,-66.17185
00956,Toa Alta,PR,18.32121,-66.17185
00957,Bayamón,PR,18.36696,-66.18857
00957,Toa Alta,PR,18.36696,-66.18857
00959,Bayamón,PR,18.3852,-66.15583
00959,Guaynabo,PR,18.3852,-66.15583
00959,Toa Baja,PR,18.3852,-66.15583
00959,Toa Alta,PR,18.3852,-66.15583
00960,Bayamón,PR,18.41674,-66.14365
00961,Bayamón,PR,18.40987,-66.16415
00961,Cataño,PR,18.40987,-66.16415
00962,Cataño,PR,18.43514,-66.13949
00962,Guaynabo,PR,18.43514,-66.13949
00962,Bayamón,PR,18.43514,-66.13949
00962,Toa Baja,PR,18.43514,-66.13949
00965,Guaynabo,PR,18.42853,-66.11175
00966,Guaynabo,PR,18.39784,-66.11394
00966,San Juan,PR,18.39784,-66.11394
00966,Bayamón,PR,18.39784,-66.11394
00968,Guaynabo,PR,18.40609,-66.10123
00968,San Juan,PR,18.40609,-66.10123
00969,Guaynabo,PR,18.36696,-66.11
00969,San Juan,PR,18.36696,-66.11
00969,Bayamón,PR,18.36696,-66.11
00971,Guaynabo,PR,18.32067,-66.11751
00976,Trujillo Alto,PR,18.33903,-65.99286
00976,Carolina,PR,18.33903,-65.99286
00976,San Juan,PR,18.33903,-65.99286
00976,Gurabo,PR,18.33903,-65.99286
00979,Carolina,PR,18.43734,-66.0089
00982,Carolina,PR,18.40961,-65.99143
00983,Carolina,PR,18.41788,-65.98104
00985,Carolina,PR,18.40628,-65.94767
00987,Carolina,PR,18.34115,-65.94257
00987,Trujillo Alto,PR,18.34115,-65.94257
01001,Hampden,MA,42.06262,-72.62521
01002,Hampshire,MA,42.37633,-72.46462
01002,Franklin,MA,42.37633,-72.46462
01003,Hampshire,MA,42.39135,-72.52327
01005,Worcester,MA,42.42117,-72.10655
01007,Hampshire,MA,42.28163,-72.40009
01008,Hampden,MA,42.18234,-72.95819
01008,Berkshire,MA,42.18234,-72.95819
01009,Hampden,MA,42.21133,-72.34189
01009,Hampshire,MA,42.21133,-72.34189
01010,Hampden,MA,42.12904,-72.20597
01010,Worcester,MA,42.12904,-72.20597
01011,Hampden,MA,42.30233,-72.96448
01011,Hampshire,MA,42.30233,-72.96448
01012,Hampshire,MA,42.38495,-72.84675
01013,Hampden,MA,42.16059,-72.60788
01020,Hampden,MA,42.17618,-72.56538
01022,Hampden,MA,42.19721,-72.54249
01026,Hampshire,MA,42.46858,-72.92296
01026,Berkshire,MA,42.46858,-72.92296
01027,Hampshire,MA,42.29506,-72.74303
01028,Hampden,MA,42.05967,-72.49899
01029,Berkshire,MA,42.19402,-73.05067
01030,Hampden,MA,42.06869,-72.67967
01031,Worcester,MA,42.32782,-72.19191
01032,Hampshire,MA,42.45313,-72.81965
01033,Hampshire,MA,42.26082,-72.50361
01034,Hampden,MA,42.0826,-72.95611
01035,Hampshire,MA,42.35563,-72.5692
01036,Hampden,MA,42.0638,-72.4157
01037,Worcester,MA,42.37063,-72.19466
01038,Hampshire,MA,42.38466,-72.60559
01039,Hampshire,MA,42.41049,-72.69188
01039,Franklin,MA,42.41049,-72.69188
01040,Hampden,MA,42.21251,-72.64109
01050,Hampshire,MA,42.29092,-72.87526
01050,Hampden,MA,42.29092,-72.87526
01053,Hampshire,MA,42.35205,-72.71032
01054,Franklin,MA,42.47381,-72.48768
01056,Hampden,MA,42.19211,-72.45805
01057,Hampden,MA,42.09118,-72.32392
01060,Hampshire,MA,42.32218,-72.63126
01062,Hampshire,MA,42.32146,-72.69244
01063,Hampshire,MA,42.31962,-72.63951
01066,Hampshire,MA,42.40742,-72.64032
01066,Franklin,MA,42.40742,-72.64032
01068,Worcester,MA,42.35125,-72.04776
01069,Hampden,MA,42.18798,-72.30578
01070,Hampshire,MA,42.51958,-72.92504
01070,Berkshire,MA,42.51958,-72.92504
01071,Hampden,MA,42.16029,-72.8598
01072,Franklin,MA,42.46327,-72.41893
01073,Hampshire,MA,42.23084,-72.73856
01074,Worcester,MA,42.3837,-72.10021
01075,Hampshire,MA,42.25672,-72.57928
01077,Hampden,MA,42.05441,-72.77851
01079,Hampden,MA,42.18508,-72.33406
01080,Hampden,MA,42.18228,-72.36515
01081,Hampden,MA,42.06232,-72.23085
01082,Hampshire,MA,42.29816,-72.27676
01082,Worcester,MA,42.29816,-72.27676
01082,Hampden,MA,42.29816,-72.27676
01083,Worcester,MA,42.20652,-72.19906
01084,Hampshire,MA,42.38589,-72.88165
